Treatment,Replicate,SamplingDate,PlateDilution,PictureDate(days since plating),White,Purple S,Purple wr
Shaken,3,6-Sep,-7,10,8,0,12
static,1,6-Sep,-5,10,NAN,NAN,NAN
static,2,6-Sep,-5,10,NAN,NAN,NAN
static,3,6-Sep,-5,10,NAN,NAN,NAN
static,1,6-Sep,-6,10,20,56,7
static,2,6-Sep,-6,10,18,81,23
static,3,6-Sep,-6,10,26,51,16
static,1,6-Sep,-7,10,13,22,15
static,2,6-Sep,-7,10,9,3,20
static,3,6-Sep,-7,10,11,12,17
Shaken,1,11-Sep,-5,1,0,0,0
Shaken,2,11-Sep,-5,1,0,0,0
Shaken,3,11-Sep,-5,1,0,0,0
Shaken,1,11-Sep,-6,1,0,0,0
Shaken,2,11-Sep,-6,1,0,0,0
Shaken,3,11-Sep,-6,1,0,0,0
Shaken,1,11-Sep,-7,1,0,0,0
Shaken,2,11-Sep,-7,1,0,0,0
Shaken,3,11-Sep,-7,1,0,0,0
static,1,11-Sep,-5,1,0,0,0
static,2,11-Sep,-5,1,0,0,0
static,3,11-Sep,-5,1,0,0,0
static,1,11-Sep,-6,1,0,0,0
static,2,11-Sep,-6,1,0,0,0
static,3,11-Sep,-6,1,0,0,0
static,1,11-Sep,-7,1,0,0,0
static,2,11-Sep,-7,1,0,0,0
static,3,11-Sep,-7,1,0,0,0
Shaken,1,11-Sep,-5,2,436,0,0
Shaken,2,11-Sep,-5,2,448,0,0
Shaken,3,11-Sep,-5,2,358,0,0
Shaken,1,11-Sep,-6,2,407,0,0
Shaken,2,11-Sep,-6,2,188,0,0
Shaken,3,11-Sep,-6,2,103,0,0
Shaken,1,11-Sep,-7,2,37,0,0
Shaken,2,11-Sep,-7,2,30,0,0
Shaken,3,11-Sep,-7,2,33,0,0
static,1,11-Sep,-5,2,226,0,0
static,2,11-Sep,-5,2,270,0,0
static,3,11-Sep,-5,2,16,0,0
static,1,11-Sep,-6,2,86,0,0
static,2,11-Sep,-6,2,86,0,0
static,3,11-Sep,-6,2,0,0,0
static,1,11-Sep,-7,2,17,0,0
static,2,11-Sep,-7,2,47,0,0
static,3,11-Sep,-7,2,0,0,0
Shaken,1,11-Sep,-5,3,484,0,0
Shaken,2,11-Sep,-5,3,460,0,0
Shaken,3,11-Sep,-5,3,376,0,0
Shaken,1,11-Sep,-6,3,413,0,0
Shaken,2,11-Sep,-6,3,190,5,0
Shaken,3,11-Sep,-6,3,110,9,0
Shaken,1,11-Sep,-7,3,43,1,0
Shaken,2,11-Sep,-7,3,32,1,0
Shaken,3,11-Sep,-7,3,31,6,0
static,1,11-Sep,-5,3,198,63,0
static,2,11-Sep,-5,3,256,16,0
static,3,11-Sep,-5,3,17,3,0
static,1,11-Sep,-6,3,69,23,0
static,2,11-Sep,-6,3,85,6,0
static,3,11-Sep,-6,3,0,1,0
static,1,11-Sep,-7,3,16,7,0
static,2,11-Sep,-7,3,59,3,0
static,3,11-Sep,-7,3,0,0,0
Shaken,1,11-Sep,-5,4,503,0,0
Shaken,2,11-Sep,-5,4,472,0,0
Shaken,3,11-Sep,-5,4,368,51,0
Shaken,1,11-Sep,-6,4,427,1,0
Shaken,2,11-Sep,-6,4,203,5,0
Shaken,3,11-Sep,-6,4,101,17,0
Shaken,1,11-Sep,-7,4,37,1,0
Shaken,2,11-Sep,-7,4,31,1,0
Shaken,3,11-Sep,-7,4,30,12,0
static,1,11-Sep,-5,4,171,74,0
static,2,11-Sep,-5,4,266,24,0
static,3,11-Sep,-5,4,15,4,0
static,1,11-Sep,-6,4,71,27,0
static,2,11-Sep,-6,4,91,6,0
static,3,11-Sep,-6,4,0,0,1
static,1,11-Sep,-7,4,16,1,6
static,2,11-Sep,-7,4,52,5,0
static,3,11-Sep,-7,4,0,0,0
Shaken,1,11-Sep,-5,5,NAN,NAN,NAN
Shaken,2,11-Sep,-5,5,NAN,NAN,NAN
Shaken,3,11-Sep,-5,5,396,0,0
Shaken,1,11-Sep,-6,5,420,6,0
Shaken,2,11-Sep,-6,5,192,6,0
Shaken,3,11-Sep,-6,5,66,24,0
Shaken,1,11-Sep,-7,5,46,1,0
Shaken,2,11-Sep,-7,5,30,1,0
Shaken,3,11-Sep,-7,5,26,10,0
static,1,11-Sep,-5,5,183,76,0
static,2,11-Sep,-5,5,294,24,0
static,3,11-Sep,-5,5,6,12,2
static,1,11-Sep,-6,5,82,39,0
static,2,11-Sep,-6,5,84,14,0
static,3,11-Sep,-6,5,0,0,1
static,1,11-Sep,-7,5,9,8,7
static,2,11-Sep,-7,5,37,11,0
static,3,11-Sep,-7,5,0,0,0
Shaken,1,11-Sep,-5,6,NAN,NAN,NAN
Shaken,2,11-Sep,-5,6,NAN,NAN,NAN
Shaken,3,11-Sep,-5,6,387,72,0
Shaken,1,11-Sep,-6,6,420,6,0
Shaken,2,11-Sep,-6,6,190,18,1
Shaken,3,11-Sep,-6,6,71,26,0
Shaken,1,11-Sep,-7,6,40,1,0
Shaken,2,11-Sep,-7,6,32,1,0
Shaken,3,11-Sep,-7,6,27,12,2
static,1,11-Sep,-5,6,181,102,0
static,2,11-Sep,-5,6,301,31,0
static,3,11-Sep,-5,6,5,12,3
static,1,11-Sep,-6,6,68,49,2
static,2,11-Sep,-6,6,77,23,2
static,3,11-Sep,-6,6,0,0,1
static,1,11-Sep,-7,6,9,8,6
static,2,11-Sep,-7,6,44,13,0
static,3,11-Sep,-7,6,0,0,0
Shaken,1,11-Sep,-5,7,NAN,NAN,NAN
Shaken,2,11-Sep,-5,7,NAN,NAN,NAN
Shaken,3,11-Sep,-5,7,391,80,0
Shaken,1,11-Sep,-6,7,433,12,0
Shaken,2,11-Sep,-6,7,143,17,0
Shaken,3,11-Sep,-6,7,72,34,0
Shaken,1,11-Sep,-7,7,42,1,0
Shaken,2,11-Sep,-7,7,30,1,0
Shaken,3,11-Sep,-7,7,28,11,0
static,1,11-Sep,-5,7,181,89,0
static,2,11-Sep,-5,7,306,39,0
static,3,11-Sep,-5,7,5,12,3
static,1,11-Sep,-6,7,78,60,0
static,2,11-Sep,-6,7,83,20,0
static,3,11-Sep,-6,7,0,0,1
static,1,11-Sep,-7,7,9,9,7
static,2,11-Sep,-7,7,37,9,0
static,3,11-Sep,-7,7,0,0,0
Shaken,1,11-Sep,-5,8,NAN,NAN,NAN
Shaken,2,11-Sep,-5,8,NAN,NAN,NAN
Shaken,3,11-Sep,-5,8,375,91,0
Shaken,1,11-Sep,-6,8,411,10,0
Shaken,2,11-Sep,-6,8,87,11,0
Shaken,3,11-Sep,-6,8,71,37,0
Shaken,1,11-Sep,-7,8,44,1,0
Shaken,2,11-Sep,-7,8,32,1,0
Shaken,3,11-Sep,-7,8,26,15,1
static,1,11-Sep,-5,8,175,99,0
static,2,11-Sep,-5,8,NAN,NAN,NAN
static,3,11-Sep,-5,8,6,10,3
static,1,11-Sep,-6,8,78,62,0
static,2,11-Sep,-6,8,93,22,1
static,3,11-Sep,-6,8,0,0,1
static,1,11-Sep,-7,8,9,8,7
static,2,11-Sep,-7,8,42,11,1
static,3,11-Sep,-7,8,0,5,0
Shaken,1,11-Sep,-5,9,NAN,NAN,NAN
Shaken,2,11-Sep,-5,9,NAN,NAN,NAN
Shaken,3,11-Sep,-5,9,NAN,NAN,NAN
Shaken,1,11-Sep,-6,9,428,13,0
